"Name","Population","Median Housing Price per sqft","Personal Income"
"St. George, UT",197680,298,50746
"St. Joseph, MO-KS",119690,115,46980
"St. Louis, MO-IL",2801319,156,69698
"State College, PA",158425,194,54686
"Staunton, VA",126776,193,52910
"Stockton, CA",793229,312,54183
"Sumter, SC",134925,138,46288
"Syracuse, NY",653633,149,57576
"Tallahassee, FL",390992,194,52359
"Tampa-St. Petersburg-Clearwater, FL",3290730,259,60091
"Terre Haute, IN",184875,91,45783
"Texarkana, TX-AR",146408,126,46472
"The Villages, FL",144970,260,69224
"Toledo, OH",640384,131,54483
"Topeka, KS",231783,120,54500
"Trenton-Princeton, NJ",380688,248,79354
"Tucson, AZ",1057597,226,54464
"Tulsa, OK",1034123,161,62618
"Tuscaloosa, AL",277494,164,41350
"Twin Falls, ID",119007,234,48305
"Tyler, TX",241922,187,66784
"Urban Honolulu, HI",995638,669,64936
"Utica-Rome, NY",288668,143,51162
"Valdosta, GA",149849,154,42469
"Vallejo, CA",448747,345,58273
"Victoria, TX",98196,154,58905
"Vineland-Bridgeton, NJ",151356,172,46791
"Virginia Beach-Norfolk-Newport News, VA-NC",1806840,200,57873
"Visalia, CA",477544,234,47295
"Waco, TX",283885,183,49798
"Walla Walla, WA",61890,251,55436
"Warner Robins, GA",198193,147,47478
"Washington-Arlington-Alexandria, DC-VA-MD-WV",6373756,306,83010
"Waterloo-Cedar Falls, IA",167889,137,55247
"Watertown-Fort Drum, NY",116637,133,51749
"Wausau-Weston, WI",166334,157,58770
"Weirton-Steubenville, WV-OH",114235,108,47725
"Wenatchee, WA",124118,324,57853
"Wheeling, WV-OH",136708,107,53193
"Wichita Falls, TX",149299,127,51731
"Wichita, KS",650039,141,58165
"Williamsport, PA",113104,133,49869
"Wilmington, NC",300658,265,58526
"Winchester, VA-WV",146455,208,59702
"Winston-Salem, NC",688471,165,54330
"Worcester, MA-CT",980137,265,63475
"Yakima, WA",257001,229,49266
"York-Hanover, PA",461058,163,57321
"Youngstown-Warren-Boardman, OH-PA",535499,109,48645
"Yuba City, CA",182813,261,50252
"Yuma, AZ",207842,213,44811
